USER       PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
nslcd     2150  0.0  0.0 450968  2080 ?        Ssl  Feb24  20:16 /usr/sbin/nslcd
root      2169  0.0  0.0   9120   476 ?        S    Feb24   0:00 /sbin/dhclient -d -4 -sf /usr/libexec/nm-dhcp-client.action -pf /var/run/dhclient-eth0.pid -lf /var/lib/dhclient/dhclient-5fb06bd0-0bb0-7ffb-45f1-d6edd65f3e03-eth0.lease -cf /var/run/nm-dhclient-eth0.conf eth0
root      2198  0.0  0.0 189600   648 ?        Ss   Feb24   0:00 cupsd -C /etc/cups/cupsd.conf
root      2223  0.0  0.0   4080   244 ?        Ss   Feb24   0:00 /usr/sbin/acpid
68        2232  0.0  0.0  41120  1760 ?        Ssl  Feb24   0:28 hald
root      2233  0.0  0.0  20324   636 ?        S    Feb24   0:00 hald-runner
root      2321  0.0  0.0  22472   892 ?        S    Feb24   2:55 hald-addon-input: Listening on /dev/input/event0 /dev/input/event1 /dev/input/event3
68        2322  0.0  0.0  17932     8 ?        S    Feb24   0:00 hald-addon-acpi: listening on acpid socket /var/run/acpid.socket
root      2325  0.0  0.0  22440   516 ?        S    Feb24  29:07 hald-addon-storage: polling /dev/sr0 (every 2 sec)
root      2327  0.0  0.0  22440   516 ?        S    Feb24  28:37 hald-addon-storage: polling /dev/sr1 (every 2 sec)
root      2349  0.0  0.0  91272   356 ?        Ssl  Feb24   0:00 pcscd
nscd      2382  0.0  0.0 970208  1160 ?        Ssl  Feb24   2:25 /usr/sbin/nscd
root      2736  0.0  0.0   4360     4 ?        Ss   Feb24   0:00 /usr/sbin/mcelog --daemon
root      2746  0.0  0.0      0     0 ?        S    Feb24   0:18 [afs_pagecopy]
root      2752  0.0  0.0   6772   384 ?        Ss   Feb24   0:01 /usr/vice/etc/afsd -dynroot -fakestat -afsdb
root      2753  0.0  0.0      0     0 ?        S    Feb24   8:51 [afs_rxlistener]
root      2754  0.0  0.0      0     0 ?        S    Feb24   0:07 [afs_callback]
root      2755  0.0  0.0      0     0 ?        S    Feb24   3:14 [afs_rxevent]
root      2760  0.0  0.0      0     0 ?        S    Feb24   3:44 [afsd]
root      2762  0.0  0.0      0     0 ?        S    Feb24   3:00 [afs_checkserver]
root      2763  0.0  0.0      0     0 ?        S    Feb24   0:29 [afs_background]
root      2765  0.0  0.0      0     0 ?        S    Feb24   0:33 [afs_background]
root      2766  0.0  0.0      0     0 ?        S    Feb24   0:30 [afs_background]
root      2767  0.0  0.0      0     0 ?        S    Feb24   0:30 [afs_background]
root      2769  0.0  0.0      0     0 ?        S    Feb24   0:18 [afs_cachetrim]
root      2789  0.0  0.0  22604   404 ?        Ss   Feb24   0:29 xinetd -stayalive -pidfile /var/run/xinetd.pid
ntp       2797  0.0  0.0  25296   648 ?        Ss   Feb24   0:07 ntpd -u ntp:ntp -p /var/run/ntpd.pid -g
root      2877  0.0  0.0  80080   260 ?        Ss   Feb24   0:14 /usr/libexec/postfix/master
postfix   2884  0.0  0.0  80116   508 ?        S    Feb24   0:03 qmgr -l -t fifo -u
root      2901  0.0  0.0 108520   808 ?        Ss   Feb24   0:10 /usr/sbin/abrtd
root      2909  0.0  0.0 108204   220 ?        Ss   Feb24   1:34 abrt-dump-oops -d /var/spool/abrt -rwx /var/log/messages
root      2922  0.0  0.0   6736    44 ?        Ss   Feb24   1:08 /usr/sbin/gpm -m /dev/input/mice -t exps2
root      2941  0.0  0.0 117544   688 ?        Ss   Feb24   0:07 crond
root      2952  0.0  0.0  19860    52 ?        Ss   Feb24   0:00 /usr/sbin/atd
root      2968  0.0  0.0 490248  1408 ?        Ssl  Feb24   0:37 /usr/libexec/karl
root      2990  0.0  0.0 100920   428 ?        Ss   Feb24   0:00 rhnsd
root      2998  0.0  0.0 104016   352 ?        Ss   Feb24   0:00 /usr/bin/rhsmcertd
root      3032  0.0  0.0 112920   436 ?        Sl   Feb24  76:28 spiceusbsrvd
root      3035  0.0  0.0 132252  1024 ?        Ssl  Feb24   0:00 /usr/sbin/gdm-binary -nodaemon
root      3042  0.0  0.0   4060     8 tty3     Ss+  Feb24   0:00 /sbin/mingetty /dev/tty3
root      3044  0.0  0.0   4060     8 tty4     Ss+  Feb24   0:00 /sbin/mingetty /dev/tty4
root      3046  0.0  0.0   4060     8 tty5     Ss+  Feb24   0:00 /sbin/mingetty /dev/tty5
root      3048  0.0  0.0   4060     8 tty6     Ss+  Feb24   0:00 /sbin/mingetty /dev/tty6
root      3108  0.0  0.0 4184392 1720 ?        Sl   Feb24   0:00 /usr/sbin/console-kit-daemon --no-daemon
root      3183  0.0  0.0  49888  1324 ?        S    Feb24   0:00 /usr/libexec/devkit-power-daemon
root      3220  0.0  0.0  50804  1548 ?        S    Feb24   0:00 /usr/libexec/polkit-1/polkitd
rtkit     3234  0.0  0.0 166560   544 ?        SNl  Feb24   1:48 /usr/libexec/rtkit-daemon
root      3243  0.0  0.0  44960     8 ?        Ss   Feb24   0:00 /usr/sbin/wpa_supplicant -c /etc/wpa_supplicant/wpa_supplicant.conf -B -u -f /var/log/wpa_supplicant.log -P /var/run/wpa_supplicant.pid
